X,Y,Name,description,station,line,status,type
-122.66193382682,45.5169372080132,,,SE Martin Luther King & Morrison,AL,Existing,SC
-122.691150055188,45.5204089981328,,,Kings Hill/SW Salmon St,BR,Existing,MAX
-122.667837215929,45.5301865445771,,,Interstate/Rose Quarter,Y,Existing,MAX
-122.682088736855,45.5771091829408,,,N Lombard TC,Y,Existing,MAX
-122.661838899356,45.5274116137128,,,NE Martin Luther King & Hoyt,AL,Existing,SC
-122.661880947603,45.5233957457257,,,NE Martin Luther King & Burnside,AL,Existing,SC
-122.661895148378,45.5190602543066,,,SE Martin Luther King & Stark,AL,Existing,SC
-122.66194532807,45.5146566990266,,,SE Martin Luther King & Salmon,AL,Existing,SC
-122.682224498811,45.562658122505,,,N Killingsworth St,Y,Existing,MAX
-122.66061025391,45.5148793071997,,,SE Grand & Taylor,BL,Existing,SC
-122.689848447804,45.5213523695149,,,Providence Park,BR,Existing,MAX
-122.68979516406,45.5217980148586,,,Providence Park,BR,Existing,MAX
-122.653264227756,45.5027875093816,,,Clinton/SE 12th Ave,O,Existing,MAX
-122.648173981718,45.4978435003269,,,SE 17th Ave & Rhine St,O,Existing,MAX
-122.83308205683,45.5004342484812,,,Beaverton Creek,B,Existing,MAX
-122.677801379298,45.5097422682768,,,SW 1st & Harrison,NS/AL/BL,Existing,SC
-122.676558200485,45.5088944630506,,,SW Harrison St,NS/AL/BL,Existing,SC
-122.661953552854,45.5124776542421,,,SE Martin Luther King & Hawthorne,AL,Existing,SC
-122.685630032618,45.5961329899881,,,Delta Park/Vanport,Y,Existing,MAX
-122.764451611206,45.3836646256304,,,Tualatin,WES,Existing,CR
-122.775201081477,45.3111618460812,,,Wilsonville,WES,Existing,CR
-122.671942045513,45.4961861562825,,,SW Moody & Gaines,NS,Existing,SC
-122.671376021937,45.4938943368266,,,SW Lowell & Moody,NS,Existing,SC
-122.787064949411,45.4576158997177,,,Hall/Nimbus,WES,Existing,CR
-122.76977862446,45.4302203484793,,,Tigard TC,WES,Existing,CR
-122.671825025084,45.4993992327697,,,SW Moody & Gibbs,NS,Existing,SC
-122.683317660768,45.5315369294405,,,NW Northrup & 12th,NS,Existing,SC
-122.696444902232,45.531308734209,,,NW Northrup & 22nd,NS,Existing,SC
-122.68391331085,45.5137038037682,,,SW Market & Park,NS/BL,Existing,SC
-122.682987645316,45.5089732857044,,,PSU South/SW 5th and Jackson,GO,Existing,MAX
-122.682732225356,45.5113468680198,,,PSU Urban Center/SW 6th and Montgomery,GY,Existing,MAX
-122.5662602122,45.4910993615132,,,SE Holgate Blvd,G,Existing,MAX
-122.566799641463,45.4804216120035,,,Lents/SE Foster Rd,G,Existing,MAX
-122.685906574619,45.5838510151531,,,Kenton/N Denver Ave,Y,Existing,MAX
-122.566634440636,45.4678475651509,,,SE Flavel St,G,Existing,MAX
-122.670738624276,45.4989422790137,,,OHSU Commons,NS,Existing,SC
-122.670932717317,45.4955976578637,,,SW Bond & Lane,NS,Existing,SC
-122.566179748946,45.4957626995666,,,SE Powell Blvd,G,Existing,MAX
-122.566619940677,45.5033942626226,,,SE Division St,G,Existing,MAX
-122.680962938853,45.5129219096041,,,SW Market & 5th,NS/BL,Existing,SC
-122.682079394919,45.5122202759158,,,PSU Urban Center,NS/AL,Existing,SC
-122.684978633536,45.5145466899528,,,SW 10th & Clay,NS/AL,Existing,SC
-122.684554367604,45.5130539626358,,,SW Mill & Park,NS/AL,Existing,SC
-122.681732990779,45.5205731291997,,,SW 10th & Alder,NS/AL,Existing,SC
-122.681088691522,45.5217843476632,,,SW 10th & Stark,NS/AL,Existing,SC
-122.68608112241,45.5151046345894,,,SW 11th & Clay,NS/BL,Existing,SC
-122.685318092084,45.5164717869211,,,SW 11th & Jefferson,NS/BL,Existing,SC
-122.682469599949,45.5192257125626,,,Central Library,NS/AL,Existing,SC
-122.683939120292,45.5191461546514,,,SW 11th & Taylor,NS/BL,Existing,SC
-122.681247968207,45.5285719138922,,,NW 10th & Johnson,NS/AL,Existing,SC
-122.681181935885,45.5264468224196,,,NW 10th & Glisan,NS/AL,Existing,SC
-122.68535650502,45.5315068392724,,,NW Northrup & 14th,NS,Existing,SC
-122.68132534483,45.53118806404,,,NW 10th & Marshall,NS/BL,Existing,SC
-122.564432325201,45.5142685220411,,,SE Main St,G,Existing,MAX
-122.800876750484,45.4909202956303,,,Beaverton TC,WES,Existing,CR
-122.681083992228,45.5235925183052,,,NW 10th & Couch,NS/AL,Existing,SC
-122.68111114181,45.5250104819996,,,NW 10th & Everett,NS/AL,Existing,SC
-122.694455470465,45.531346740113,,,NW Northrup & 21st,NS,Existing,SC
-122.689416561638,45.5314373379727,,,NW Northrup & 18th,NS,Existing,SC
-122.68222330805,45.5237848934018,,,NW 11th & Couch,NS/BL,Existing,SC
-122.681615609345,45.5198607935743,,,Galleria/SW 10th Ave,BR,Existing,MAX
-122.67912679872,45.5191967505309,,,Pioneer Square North,BR,Existing,MAX
-122.565592776455,45.5590231672889,,,Parkrose/Sumner TC,R,Existing,MAX
-122.780998909937,45.5102486388053,,,Sunset TC,BR,Existing,MAX
-122.689587554933,45.5299305690787,,,NW Lovejoy & 18th,NS,Existing,SC
-122.68461302476,45.5299978059565,,,NW Lovejoy & 13th,NS,Existing,SC
